storm_id,domain_mean_mm,footprint_mean_mm,domain_max_mm,n_bands,file
sample_0182,284.62,24.36,1324.55,72,sample_0182__scenario_Morales_Guatemala_WRF_Box_rlz1year9975storm5.tif
sample_0183,284.89,29.6,1324.55,72,sample_0183__scenario_Morales_Guatemala_WRF_Box_rlz1year9976storm5.tif
sample_0184,285.65,28.4,1324.55,72,sample_0184__scenario_Morales_Guatemala_WRF_Box_rlz1year9978storm5.tif
sample_0185,290.85,9.54,1324.55,72,sample_0185__scenario_Morales_Guatemala_WRF_Box_rlz1year9981storm5.tif
sample_0186,291.7,14.03,1324.55,72,sample_0186__scenario_Morales_Guatemala_WRF_Box_rlz1year9983storm5.tif
sample_0187,291.77,27.16,1324.55,72,sample_0187__scenario_Morales_Guatemala_WRF_Box_rlz1year9984storm5.tif
sample_0188,291.62,53.75,1324.55,72,sample_0188__scenario_Morales_Guatemala_WRF_Box_rlz1year9985storm5.tif
sample_0189,292.36,26.29,1324.55,72,sample_0189__scenario_Morales_Guatemala_WRF_Box_rlz1year9986storm5.tif
sample_0190,293.81,60.24,1282.72,72,sample_0190__scenario_Morales_Guatemala_WRF_Box_rlz1year9987storm5.tif
sample_0191,294.59,42.21,1324.55,72,sample_0191__scenario_Morales_Guatemala_WRF_Box_rlz1year9988storm5.tif
sample_0192,296.22,68.82,1282.72,72,sample_0192__scenario_Morales_Guatemala_WRF_Box_rlz1year9989storm5.tif
sample_0193,299.35,34.59,1324.55,72,sample_0193__scenario_Morales_Guatemala_WRF_Box_rlz1year9990storm5.tif
sample_0194,300.31,101.71,1324.55,72,sample_0194__scenario_Morales_Guatemala_WRF_Box_rlz1year9991storm5.tif
sample_0195,301.71,117.93,1282.72,72,sample_0195__scenario_Morales_Guatemala_WRF_Box_rlz1year9992storm5.tif
sample_0196,301.89,40.69,1324.55,72,sample_0196__scenario_Morales_Guatemala_WRF_Box_rlz1year9993storm5.tif
sample_0197,302.17,123.39,1282.72,72,sample_0197__scenario_Morales_Guatemala_WRF_Box_rlz1year9994storm5.tif
sample_0198,303.02,54.41,1324.55,72,sample_0198__scenario_Morales_Guatemala_WRF_Box_rlz1year9997storm5.tif
sample_0199,303.54,59.19,1324.55,72,sample_0199__scenario_Morales_Guatemala_WRF_Box_rlz1year9998storm5.tif
sample_0200,306.0,32.32,1324.55,72,sample_0200__scenario_Morales_Guatemala_WRF_Box_rlz1year9999storm5.tif
